ZIP (character),State,Primary eGRID Subregion,Subregion annual CO2e output emission rate (lb/MWh),ZIP5,rate_lb_per_mwh,norm_factor_vs_us_mean
87583,NM,AZNM,779.382,87583,779.382,0.941828596287703
87592,NM,AZNM,779.382,87592,779.382,0.941828596287703
87594,NM,AZNM,779.382,87594,779.382,0.941828596287703
87701,NM,AZNM,779.382,87701,779.382,0.941828596287703
87710,NM,AZNM,779.382,87710,779.382,0.941828596287703
87711,NM,AZNM,779.382,87711,779.382,0.941828596287703
87712,NM,AZNM,779.382,87712,779.382,0.941828596287703
87713,NM,AZNM,779.382,87713,779.382,0.941828596287703
87714,NM,AZNM,779.382,87714,779.382,0.941828596287703
87715,NM,AZNM,779.382,87715,779.382,0.941828596287703
87718,NM,AZNM,779.382,87718,779.382,0.941828596287703
87722,NM,AZNM,779.382,87722,779.382,0.941828596287703
87723,NM,AZNM,779.382,87723,779.382,0.941828596287703
87724,NM,AZNM,779.382,87724,779.382,0.941828596287703
87728,NM,AZNM,779.382,87728,779.382,0.941828596287703
87729,NM,AZNM,779.382,87729,779.382,0.941828596287703
87730,NM,AZNM,779.382,87730,779.382,0.941828596287703
87731,NM,AZNM,779.382,87731,779.382,0.941828596287703
87732,NM,AZNM,779.382,87732,779.382,0.941828596287703
87733,NM,SPSO,975.253,87733,975.253,1.17852499033256
87734,NM,AZNM,779.382,87734,779.382,0.941828596287703
87735,NM,AZNM,779.382,87735,779.382,0.941828596287703
87736,NM,AZNM,779.382,87736,779.382,0.941828596287703
87740,NM,AZNM,779.382,87740,779.382,0.941828596287703
87742,NM,AZNM,779.382,87742,779.382,0.941828596287703
87743,NM,SPSO,975.253,87743,975.253,1.17852499033256
87745,NM,AZNM,779.382,87745,779.382,0.941828596287703
87746,NM,SPSO,975.253,87746,975.253,1.17852499033256
87747,NM,AZNM,779.382,87747,779.382,0.941828596287703
87749,NM,AZNM,779.382,87749,779.382,0.941828596287703
87750,NM,AZNM,779.382,87750,779.382,0.941828596287703
87752,NM,AZNM,779.382,87752,779.382,0.941828596287703
87753,NM,AZNM,779.382,87753,779.382,0.941828596287703
87801,NM,AZNM,779.382,87801,779.382,0.941828596287703
87820,NM,AZNM,779.382,87820,779.382,0.941828596287703
87821,NM,AZNM,779.382,87821,779.382,0.941828596287703
87823,NM,AZNM,779.382,87823,779.382,0.941828596287703
87824,NM,AZNM,779.382,87824,779.382,0.941828596287703
87825,NM,AZNM,779.382,87825,779.382,0.941828596287703
87827,NM,AZNM,779.382,87827,779.382,0.941828596287703
87828,NM,AZNM,779.382,87828,779.382,0.941828596287703
87829,NM,AZNM,779.382,87829,779.382,0.941828596287703
87830,NM,AZNM,779.382,87830,779.382,0.941828596287703
87831,NM,AZNM,779.382,87831,779.382,0.941828596287703
87832,NM,AZNM,779.382,87832,779.382,0.941828596287703
87901,NM,AZNM,779.382,87901,779.382,0.941828596287703
87930,NM,AZNM,779.382,87930,779.382,0.941828596287703
87931,NM,AZNM,779.382,87931,779.382,0.941828596287703
87933,NM,AZNM,779.382,87933,779.382,0.941828596287703
87935,NM,AZNM,779.382,87935,779.382,0.941828596287703
87936,NM,AZNM,779.382,87936,779.382,0.941828596287703
