ZIP (character),State,Primary eGRID Subregion,Subregion annual CO2e output emission rate (lb/MWh),ZIP5,rate_lb_per_mwh,norm_factor_vs_us_mean
89447,NV,NWPP,605.872,89447,605.872,0.732153905645785
89448,NV,NWPP,605.872,89448,605.872,0.732153905645785
89449,NV,NWPP,605.872,89449,605.872,0.732153905645785
89450,NV,NWPP,605.872,89450,605.872,0.732153905645785
89451,NV,NWPP,605.872,89451,605.872,0.732153905645785
89452,NV,NWPP,605.872,89452,605.872,0.732153905645785
89460,NV,NWPP,605.872,89460,605.872,0.732153905645785
89496,NV,NWPP,605.872,89496,605.872,0.732153905645785
89501,NV,NWPP,605.872,89501,605.872,0.732153905645785
89502,NV,NWPP,605.872,89502,605.872,0.732153905645785
89503,NV,NWPP,605.872,89503,605.872,0.732153905645785
89504,NV,NWPP,605.872,89504,605.872,0.732153905645785
89505,NV,NWPP,605.872,89505,605.872,0.732153905645785
89506,NV,NWPP,605.872,89506,605.872,0.732153905645785
89507,NV,NWPP,605.872,89507,605.872,0.732153905645785
89508,NV,NWPP,605.872,89508,605.872,0.732153905645785
89509,NV,NWPP,605.872,89509,605.872,0.732153905645785
89510,NV,NWPP,605.872,89510,605.872,0.732153905645785
89511,NV,NWPP,605.872,89511,605.872,0.732153905645785
89512,NV,NWPP,605.872,89512,605.872,0.732153905645785
89513,NV,NWPP,605.872,89513,605.872,0.732153905645785
89515,NV,NWPP,605.872,89515,605.872,0.732153905645785
89519,NV,NWPP,605.872,89519,605.872,0.732153905645785
89520,NV,NWPP,605.872,89520,605.872,0.732153905645785
89521,NV,NWPP,605.872,89521,605.872,0.732153905645785
89523,NV,NWPP,605.872,89523,605.872,0.732153905645785
89533,NV,NWPP,605.872,89533,605.872,0.732153905645785
89555,NV,NWPP,605.872,89555,605.872,0.732153905645785
89557,NV,NWPP,605.872,89557,605.872,0.732153905645785
89570,NV,NWPP,605.872,89570,605.872,0.732153905645785
89595,NV,NWPP,605.872,89595,605.872,0.732153905645785
89599,NV,NWPP,605.872,89599,605.872,0.732153905645785
89701,NV,NWPP,605.872,89701,605.872,0.732153905645785
